trial,RLCT,beta,c,n,chain_size
1,0.112712140455412,0.0434294481903252,0.1,10,4000
1,0.342241423546009,0.0255622218635331,0.1,50,4000
1,0.457188915829737,0.0217147240951626,0.1,100,4000
1,0.526437765456025,0.0199575491191355,0.1,150,4000
1,0.471263835518553,0.0188739165817755,0.1,200,4000
1,0.542064569165614,0.0181111487498706,0.1,250,4000
1,0.499047656935704,0.0175322254038146,0.1,300,4000
1,0.635911427307192,0.0170708673798136,0.1,350,4000
1,0.607488992083647,0.0166904100347667,0.1,400,4000
1,0.559327462372148,0.0163686278294112,0.1,450,4000
1,0.604541269478699,0.0160911192494002,0.1,500,4000
1,0.212627559018451,0.0868588963806504,0.2,10,4000
1,0.577134260055988,0.0511244437270663,0.2,50,4000
1,0.474647293726462,0.0434294481903252,0.2,100,4000
1,0.646227695410636,0.039915098238271,0.2,150,4000
1,0.632218425570615,0.037747833163551,0.2,200,4000
1,0.722147847305587,0.0362222974997411,0.2,250,4000
1,0.623779242295516,0.0350644508076292,0.2,300,4000
1,0.680701151954298,0.0341417347596271,0.2,350,4000
1,0.743981510765562,0.0333808200695334,0.2,400,4000
1,0.642187105853231,0.0327372556588224,0.2,450,4000
1,0.708317251950923,0.0321822384988005,0.2,500,4000
1,0.313001394166617,0.130288344570976,0.3,10,4000
1,0.577877524464326,0.0766866655905994,0.3,50,4000
1,0.585324437495851,0.0651441722854878,0.3,100,4000
1,0.705273347671826,0.0598726473574065,0.3,150,4000
1,0.646093235962695,0.0566217497453265,0.3,200,4000
1,0.701719381509161,0.0543334462496117,0.3,250,4000
1,0.687578457310909,0.0525966762114438,0.3,300,4000
1,0.80917277126126,0.0512126021394407,0.3,350,4000
1,0.67879323059023,0.0500712301043001,0.3,400,4000
1,0.687813417161032,0.0491058834882337,0.3,450,4000
1,0.751810646582926,0.0482733577482007,0.3,500,4000
1,0.397676189837989,0.173717792761301,0.4,10,4000
1,0.695637454545342,0.102248887454133,0.4,50,4000
1,0.564396406850528,0.0868588963806504,0.4,100,4000
1,0.710367409240615,0.079830196476542,0.4,150,4000
1,0.700524798828558,0.075495666327102,0.4,200,4000
1,0.689058273681998,0.0724445949994823,0.4,250,4000
1,0.727279502746007,0.0701289016152584,0.4,300,4000
1,0.733197280187026,0.0682834695192542,0.4,350,4000
1,0.733341577378808,0.0667616401390668,0.4,400,4000
1,0.636738274645669,0.0654745113176449,0.4,450,4000
1,0.683885464715262,0.064364476997601,0.4,500,4000
1,0.457568073267558,0.217147240951626,0.5,10,4000
1,0.650194723537688,0.127811109317666,0.5,50,4000
1,0.534205753485654,0.108573620475813,0.5,100,4000
1,0.705007196151192,0.0997877455956775,0.5,150,4000
1,0.651302013609032,0.0943695829088774,0.5,200,4000
1,0.68066324820545,0.0905557437493528,0.5,250,4000
1,0.651491806451497,0.087661127019073,0.5,300,4000
1,0.774195992991819,0.0853543368990678,0.5,350,4000
1,0.754683184360315,0.0834520501738335,0.5,400,4000
1,0.73094989356467,0.0818431391470561,0.5,450,4000
1,0.764561231430245,0.0804555962470012,0.5,500,4000
1,0.418323575986529,0.260576689141951,0.6,10,4000
1,0.684961206888973,0.153373331181199,0.6,50,4000
1,0.580751459022137,0.130288344570976,0.6,100,4000
1,0.759003931869856,0.119745294714813,0.6,150,4000
1,0.713008891509895,0.113243499490653,0.6,200,4000
1,0.8103659076405,0.108666892499223,0.6,250,4000
1,0.642227544241538,0.105193352422888,0.6,300,4000
1,0.813299072019613,0.102425204278881,0.6,350,4000
1,0.791755825794159,0.1001424602086,0.6,400,4000
1,0.658877203541002,0.0982117669764673,0.6,450,4000
1,0.741691485584995,0.0965467154964015,0.6,500,4000
1,0.461059423421892,0.304006137332276,0.7,10,4000
1,0.770332143112761,0.178935553044732,0.7,50,4000
1,0.602410834544631,0.152003068666138,0.7,100,4000
1,0.765731746461969,0.139702843833949,0.7,150,4000
1,0.746865310355217,0.132117416072428,0.7,200,4000
1,0.771479534859575,0.126778041249094,0.7,250,4000
1,0.778713657579338,0.122725577826702,0.7,300,4000
1,0.701211364841719,0.119496071658695,0.7,350,4000
1,0.771506160300049,0.116832870243367,0.7,400,4000
1,0.744184369696532,0.114580394805879,0.7,450,4000
1,0.825247995106663,0.112637834745802,0.7,500,4000
1,0.496713864954943,0.347435585522601,0.8,10,4000
1,0.775594449467994,0.204497774908265,0.8,50,4000
1,0.660823328806119,0.173717792761301,0.8,100,4000
1,0.730316283200811,0.159660392953084,0.8,150,4000
1,0.642700591820528,0.150991332654204,0.8,200,4000
1,0.749221465889751,0.144889189998965,0.8,250,4000
1,0.737207328004679,0.140257803230517,0.8,300,4000
1,0.750557509185195,0.136566939038508,0.8,350,4000
1,0.762038030904418,0.133523280278134,0.8,400,4000
1,0.776382621564134,0.13094902263529,0.8,450,4000
1,0.752652520074002,0.128728953995202,0.8,500,4000
1,0.505989988245726,0.390865033712927,0.9,10,4000
1,0.771828720079255,0.230059996771798,0.9,50,4000
1,0.626074458516369,0.195432516856463,0.9,100,4000
1,0.761331651255087,0.17961794207222,0.9,150,4000
1,0.688945073120921,0.169865249235979,0.9,200,4000
1,0.760167313589545,0.163000338748835,0.9,250,4000
1,0.748247493857949,0.157790028634331,0.9,300,4000
1,0.789377243483925,0.153637806418322,0.9,350,4000
1,0.755041460068332,0.1502136903129,0.9,400,4000
1,0.723548877908398,0.147317650464701,0.9,450,4000
1,0.697054628006923,0.144820073244602,0.9,500,4000
1,0.51800681171149,0.434294481903252,1,10,4000
1,0.739677150754877,0.255622218635331,1,50,4000
1,0.68866179758795,0.217147240951626,1,100,4000
1,0.709937561706094,0.199575491191355,1,150,4000
1,0.691111540832292,0.188739165817755,1,200,4000
1,0.851777439261815,0.181111487498706,1,250,4000
1,0.713044310470968,0.175322254038146,1,300,4000
1,0.818281824002463,0.170708673798136,1,350,4000
1,0.767699978790522,0.166904100347667,1,400,4000
1,0.686939881255276,0.163686278294112,1,450,4000
1,0.766532373397721,0.160911192494003,1,500,4000
1,0.525787045954747,0.477723930093577,1.1,10,4000
1,0.72426006407369,0.281184440498865,1.1,50,4000
1,0.636039826491127,0.238861965046789,1.1,100,4000
1,0.731580779156098,0.219533040310491,1.1,150,4000
1,0.744746723772017,0.20761308239953,1.1,200,4000
1,0.823410879050145,0.199222636248576,1.1,250,4000
1,0.669082792869877,0.192854479441961,1.1,300,4000
1,0.806855027090665,0.187779541177949,1.1,350,4000
1,0.788983638489342,0.183594510382434,1.1,400,4000
1,0.641440924023595,0.180054906123523,1.1,450,4000
1,0.670957558741193,0.177002311743403,1.1,500,4000
1,0.47715586331693,0.521153378283902,1.2,10,4000
1,0.684898032681445,0.306746662362398,1.2,50,4000
1,0.666162940858984,0.260576689141951,1.2,100,4000
1,0.768861093150677,0.239490589429626,1.2,150,4000
1,0.722075864807424,0.226486998981306,1.2,200,4000
1,0.712670446167125,0.217333784998447,1.2,250,4000
1,0.67263799202394,0.210386704845775,1.2,300,4000
1,0.778724318924301,0.204850408557763,1.2,350,4000
1,0.793949804253242,0.2002849204172,1.2,400,4000
1,0.733853913027599,0.196423533952935,1.2,450,4000
1,0.746869235638694,0.193093430992803,1.2,500,4000
1,0.581667928444267,0.564582826474227,1.3,10,4000
1,0.857716239775723,0.332308884225931,1.3,50,4000
1,0.681613965018929,0.282291413237114,1.3,100,4000
1,0.742497163830876,0.259448138548762,1.3,150,4000
1,0.738406049998355,0.245360915563081,1.3,200,4000
1,0.763336144800431,0.235444933748317,1.3,250,4000
1,0.77769078080469,0.22791893024959,1.3,300,4000
1,0.909326994892353,0.221921275937576,1.3,350,4000
1,0.822152577694039,0.216975330451967,1.3,400,4000
1,0.73179110394959,0.212792161782346,1.3,450,4000
1,0.619428892692745,0.209184550242203,1.3,500,4000
1,0.603646355317123,0.608012274664552,1.4,10,4000
1,0.770009600286547,0.357871106089464,1.4,50,4000
1,0.559038908727768,0.304006137332276,1.4,100,4000
1,0.776458059807731,0.279405687667897,1.4,150,4000
1,0.619845617340635,0.264234832144857,1.4,200,4000
1,0.889196222018645,0.253556082498188,1.4,250,4000
1,0.745240183894312,0.245451155653405,1.4,300,4000
