trial,RLCT,beta,c,n,chain_size
1,0.402979513513137,0.217147240951626,0.5,10,4000
1,0.646661533160229,0.127811109317666,0.5,50,4000
1,0.685112587138909,0.108573620475813,0.5,100,4000
1,0.675133120410305,0.0997877455956775,0.5,150,4000
1,0.678672233259721,0.0943695829088774,0.5,200,4000
1,0.692015526286786,0.0905557437493528,0.5,250,4000
1,0.70983060707863,0.087661127019073,0.5,300,4000
1,0.670682896456803,0.0834520501738335,0.5,400,4000
1,0.740804860368053,0.0804555962470012,0.5,500,4000
1,0.800623201751525,0.0781624977839631,0.5,600,4000
1,0.644239911916264,0.0763232893550965,0.5,700,4000
1,0.718032655401976,0.0747986600224627,0.5,800,4000
1,0.710127598773334,0.0735035259488015,0.5,900,4000
1,0.723428025897402,0.072382413650542,0.5,1000,4000
1,0.548137126951029,0.325720861427439,0.75,10,4000
1,0.811847288239179,0.191716663976499,0.75,50,4000
1,0.631701974773474,0.162860430713719,0.75,100,4000
1,0.786257679308184,0.149681618393516,0.75,150,4000
1,0.733638044082263,0.141554374363316,0.75,200,4000
1,0.771123915457117,0.135833615624029,0.75,250,4000
1,0.688971131396766,0.13149169052861,0.75,300,4000
1,0.692852420998184,0.12517807526075,0.75,400,4000
1,0.735674129913875,0.120683394370502,0.75,500,4000
1,0.724356405816536,0.117243746675945,0.75,600,4000
1,0.737214802196444,0.114484934032645,0.75,700,4000
1,0.768339771172974,0.112197990033694,0.75,800,4000
1,0.801527506459877,0.110255288923202,0.75,900,4000
1,0.858882851160363,0.108573620475813,0.75,1000,4000
1,0.560536811383711,0.434294481903252,1,10,4000
1,0.670516382681557,0.255622218635331,1,50,4000
1,0.679763242569099,0.217147240951626,1,100,4000
1,0.750869355161829,0.199575491191355,1,150,4000
1,0.639470204610295,0.188739165817755,1,200,4000
1,0.703691489154581,0.181111487498706,1,250,4000
1,0.743344307511498,0.175322254038146,1,300,4000
1,0.773446541718449,0.166904100347667,1,400,4000
1,0.737921778277357,0.160911192494003,1,500,4000
1,0.792227559822841,0.156324995567926,1,600,4000
1,0.696708993519831,0.152646578710193,1,700,4000
1,0.747718634044123,0.149597320044925,1,800,4000
1,0.86498576242668,0.147007051897603,1,900,4000
1,0.760958396720105,0.144764827301084,1,1000,4000
1,0.525561755588367,0.542868102379065,1.25,10,4000
1,0.700783676511773,0.319527773294164,1.25,50,4000
1,0.664127911233272,0.271434051189532,1.25,100,4000
1,0.719381250010466,0.249469363989194,1.25,150,4000
1,0.727809321669962,0.235923957272194,1.25,200,4000
1,0.868736018013337,0.226389359373382,1.25,250,4000
1,0.682202875980048,0.219152817547683,1.25,300,4000
1,0.737914613522467,0.208630125434584,1.25,400,4000
1,0.787656892779524,0.201138990617503,1.25,500,4000
1,0.74469038812735,0.195406244459908,1.25,600,4000
1,0.815014177717026,0.190808223387741,1.25,700,4000
1,0.896919220491292,0.186996650056157,1.25,800,4000
1,0.881159649049329,0.183758814872004,1.25,900,4000
1,0.664541421107402,0.180956034126355,1.25,1000,4000
1,0.570307941647367,0.651441722854878,1.5,10,4000
1,0.768032428271147,0.383433327952997,1.5,50,4000
1,0.718137468445649,0.325720861427439,1.5,100,4000
1,0.708294826940776,0.299363236787033,1.5,150,4000
1,0.698770312907387,0.283108748726632,1.5,200,4000
1,0.758370808068498,0.271667231248058,1.5,250,4000
1,0.692236146275977,0.262983381057219,1.5,300,4000
1,0.760585319281766,0.250356150521501,1.5,400,4000
1,0.60795966251322,0.241366788741004,1.5,500,4000
1,0.768219713414695,0.234487493351889,1.5,600,4000
1,0.69091111628653,0.228969868065289,1.5,700,4000
1,0.720619214836197,0.224395980067388,1.5,800,4000
1,0.917608126037703,0.220510577846405,1.5,900,4000
1,0.74216164595675,0.217147240951626,1.5,1000,4000
1,0.597133468812024,0.760015343330691,1.75,10,4000
1,0.759388896775467,0.44733888261183,1.75,50,4000
1,0.798509067962574,0.380007671665345,1.75,100,4000
1,0.748337486864854,0.349257109584871,1.75,150,4000
1,0.674567654105087,0.330293540181071,1.75,200,4000
1,0.788651471479576,0.316945103122735,1.75,250,4000
1,0.655456264928636,0.306813944566756,1.75,300,4000
1,0.763692104748821,0.292082175608417,1.75,400,4000
1,0.629223193302995,0.281594586864504,1.75,500,4000
1,0.716601419964234,0.273568742243871,1.75,600,4000
1,0.73351175382783,0.267131512742838,1.75,700,4000
1,0.739467050964949,0.261795310078619,1.75,800,4000
1,0.836893239873178,0.257262340820805,1.75,900,4000
1,0.663336482931376,0.253338447776897,1.75,1000,4000
1,0.685040896897798,0.868588963806504,2,10,4000
1,0.814710695918047,0.511244437270663,2,50,4000
1,0.672940989055291,0.434294481903252,2,100,4000
1,0.792418200317538,0.39915098238271,2,150,4000
