ctrial,cFE,cbeta,cm,cn,cchain_size,cname
1,16.2976312577756,0.434294481903252,-1,10,6000,AFE
1,16.042460510381,0.434294481903252,0,10,6000,WBIC
1,15.8126203379262,0.434294481903252,1,10,6000,naiveBIC(1)
1,15.840276066985,0.434294481903252,10,10,6000,naiveBIC(10)
2,16.2976289467774,0.434294481903252,-1,10,6000,AFE
2,16.0036495797544,0.434294481903252,0,10,6000,WBIC
2,15.8404961041708,0.434294481903252,1,10,6000,naiveBIC(1)
2,15.8317849820993,0.434294481903252,10,10,6000,naiveBIC(10)
3,16.2976377005416,0.434294481903252,-1,10,6000,AFE
3,16.0177393905725,0.434294481903252,0,10,6000,WBIC
3,15.8588383382802,0.434294481903252,1,10,6000,naiveBIC(1)
3,15.8623787943516,0.434294481903252,10,10,6000,naiveBIC(10)
4,16.2976289303696,0.434294481903252,-1,10,6000,AFE
4,16.0099791773005,0.434294481903252,0,10,6000,WBIC
4,15.7844220529198,0.434294481903252,1,10,6000,naiveBIC(1)
4,15.8530915681669,0.434294481903252,10,10,6000,naiveBIC(10)
5,16.2976183130593,0.434294481903252,-1,10,6000,AFE
5,16.0366034677896,0.434294481903252,0,10,6000,WBIC
5,15.79706183756,0.434294481903252,1,10,6000,naiveBIC(1)
5,15.8009368873485,0.434294481903252,10,10,6000,naiveBIC(10)
6,16.2976246704246,0.434294481903252,-1,10,6000,AFE
6,16.0836494977472,0.434294481903252,0,10,6000,WBIC
6,15.7718654869959,0.434294481903252,1,10,6000,naiveBIC(1)
6,15.7989281901531,0.434294481903252,10,10,6000,naiveBIC(10)
7,16.2976227549483,0.434294481903252,-1,10,6000,AFE
7,15.9812827380601,0.434294481903252,0,10,6000,WBIC
7,15.7701718759674,0.434294481903252,1,10,6000,naiveBIC(1)
7,15.8556175033287,0.434294481903252,10,10,6000,naiveBIC(10)
8,16.2976290987187,0.434294481903252,-1,10,6000,AFE
8,16.0393210768979,0.434294481903252,0,10,6000,WBIC
8,15.7945740966784,0.434294481903252,1,10,6000,naiveBIC(1)
8,15.8012860571142,0.434294481903252,10,10,6000,naiveBIC(10)
9,16.2976298047671,0.434294481903252,-1,10,6000,AFE
9,16.0468916334069,0.434294481903252,0,10,6000,WBIC
9,15.9107823329662,0.434294481903252,1,10,6000,naiveBIC(1)
9,15.8374146832095,0.434294481903252,10,10,6000,naiveBIC(10)
10,16.2976252046444,0.434294481903252,-1,10,6000,AFE
10,16.0519266539723,0.434294481903252,0,10,6000,WBIC
10,15.8151386370411,0.434294481903252,1,10,6000,naiveBIC(1)
10,15.8618623657279,0.434294481903252,10,10,6000,naiveBIC(10)
11,16.2976353802149,0.434294481903252,-1,10,6000,AFE
11,16.0420030472385,0.434294481903252,0,10,6000,WBIC
11,15.8552205693055,0.434294481903252,1,10,6000,naiveBIC(1)
11,15.8250218973521,0.434294481903252,10,10,6000,naiveBIC(10)
12,16.2976297794363,0.434294481903252,-1,10,6000,AFE
12,16.0102057989527,0.434294481903252,0,10,6000,WBIC
12,15.7963556956388,0.434294481903252,1,10,6000,naiveBIC(1)
12,15.8596032438168,0.434294481903252,10,10,6000,naiveBIC(10)
13,16.2976349234077,0.434294481903252,-1,10,6000,AFE
13,15.9831164453226,0.434294481903252,0,10,6000,WBIC
13,15.7646809454778,0.434294481903252,1,10,6000,naiveBIC(1)
13,15.8343016807169,0.434294481903252,10,10,6000,naiveBIC(10)
14,16.2976279742776,0.434294481903252,-1,10,6000,AFE
14,16.0323513127806,0.434294481903252,0,10,6000,WBIC
14,15.7452772022438,0.434294481903252,1,10,6000,naiveBIC(1)
14,15.846354175037,0.434294481903252,10,10,6000,naiveBIC(10)
15,16.2976293429915,0.434294481903252,-1,10,6000,AFE
15,15.9903406703577,0.434294481903252,0,10,6000,WBIC
15,15.8189026682204,0.434294481903252,1,10,6000,naiveBIC(1)
15,15.8751035216246,0.434294481903252,10,10,6000,naiveBIC(10)
16,16.297635636276,0.434294481903252,-1,10,6000,AFE
16,16.0588036524934,0.434294481903252,0,10,6000,WBIC
16,15.8985269881393,0.434294481903252,1,10,6000,naiveBIC(1)
16,15.8380451222684,0.434294481903252,10,10,6000,naiveBIC(10)
17,16.2976300348046,0.434294481903252,-1,10,6000,AFE
17,16.0051976921625,0.434294481903252,0,10,6000,WBIC
17,15.7626634304923,0.434294481903252,1,10,6000,naiveBIC(1)
17,15.8032059306895,0.434294481903252,10,10,6000,naiveBIC(10)
18,16.2976293196218,0.434294481903252,-1,10,6000,AFE
18,16.0486483067033,0.434294481903252,0,10,6000,WBIC
18,15.9403422097346,0.434294481903252,1,10,6000,naiveBIC(1)
18,15.8372220513195,0.434294481903252,10,10,6000,naiveBIC(10)
19,16.2976386440787,0.434294481903252,-1,10,6000,AFE
19,16.0610933670151,0.434294481903252,0,10,6000,WBIC
19,15.8199856878972,0.434294481903252,1,10,6000,naiveBIC(1)
19,15.8611835160456,0.434294481903252,10,10,6000,naiveBIC(10)
20,16.297628418417,0.434294481903252,-1,10,6000,AFE
20,16.0074548867626,0.434294481903252,0,10,6000,WBIC
20,15.9347768176358,0.434294481903252,1,10,6000,naiveBIC(1)
20,15.8234447463514,0.434294481903252,10,10,6000,naiveBIC(10)
21,16.2976312397853,0.434294481903252,-1,10,6000,AFE
21,16.0141180856582,0.434294481903252,0,10,6000,WBIC
21,15.8282694066824,0.434294481903252,1,10,6000,naiveBIC(1)
21,15.8618674091036,0.434294481903252,10,10,6000,naiveBIC(10)
22,16.2976320666128,0.434294481903252,-1,10,6000,AFE
22,16.0449829122283,0.434294481903252,0,10,6000,WBIC
22,15.7446706309523,0.434294481903252,1,10,6000,naiveBIC(1)
22,15.8439376221832,0.434294481903252,10,10,6000,naiveBIC(10)
23,16.2976303558103,0.434294481903252,-1,10,6000,AFE
23,16.0713493858813,0.434294481903252,0,10,6000,WBIC
23,15.8107967412005,0.434294481903252,1,10,6000,naiveBIC(1)
23,15.8229359530044,0.434294481903252,10,10,6000,naiveBIC(10)
24,16.2976399741342,0.434294481903252,-1,10,6000,AFE
24,16.0611671867855,0.434294481903252,0,10,6000,WBIC
24,15.7914234730918,0.434294481903252,1,10,6000,naiveBIC(1)
24,15.8725380202493,0.434294481903252,10,10,6000,naiveBIC(10)
25,16.297630903901,0.434294481903252,-1,10,6000,AFE
25,16.0416943849366,0.434294481903252,0,10,6000,WBIC
25,15.8469727792168,0.434294481903252,1,10,6000,naiveBIC(1)
25,15.8174075449736,0.434294481903252,10,10,6000,naiveBIC(10)
26,16.2976288330198,0.434294481903252,-1,10,6000,AFE
26,15.9895386255359,0.434294481903252,0,10,6000,WBIC
26,15.8307050548339,0.434294481903252,1,10,6000,naiveBIC(1)
26,15.7958031943127,0.434294481903252,10,10,6000,naiveBIC(10)
27,16.2976336544558,0.434294481903252,-1,10,6000,AFE
27,15.966292976151,0.434294481903252,0,10,6000,WBIC
27,15.8308898787243,0.434294481903252,1,10,6000,naiveBIC(1)
27,15.8269452913324,0.434294481903252,10,10,6000,naiveBIC(10)
28,16.2976355536696,0.434294481903252,-1,10,6000,AFE
28,16.0153080140475,0.434294481903252,0,10,6000,WBIC
28,15.7682642181725,0.434294481903252,1,10,6000,naiveBIC(1)
28,15.8368696513887,0.434294481903252,10,10,6000,naiveBIC(10)
29,16.2976280636248,0.434294481903252,-1,10,6000,AFE
29,15.9978084152075,0.434294481903252,0,10,6000,WBIC
29,15.8210940183513,0.434294481903252,1,10,6000,naiveBIC(1)
29,15.8602805521577,0.434294481903252,10,10,6000,naiveBIC(10)
30,16.2976255893282,0.434294481903252,-1,10,6000,AFE
30,16.0281577108697,0.434294481903252,0,10,6000,WBIC
30,16.0113638221396,0.434294481903252,1,10,6000,naiveBIC(1)
30,15.8464514755237,0.434294481903252,10,10,6000,naiveBIC(10)
31,16.2976290770752,0.434294481903252,-1,10,6000,AFE
31,16.0127772982331,0.434294481903252,0,10,6000,WBIC
31,15.8850644372601,0.434294481903252,1,10,6000,naiveBIC(1)
31,15.8502850757159,0.434294481903252,10,10,6000,naiveBIC(10)
32,16.2976220762355,0.434294481903252,-1,10,6000,AFE
32,16.0392567524581,0.434294481903252,0,10,6000,WBIC
32,15.9777386583259,0.434294481903252,1,10,6000,naiveBIC(1)
32,15.8475439932207,0.434294481903252,10,10,6000,naiveBIC(10)
33,16.29763406237,0.434294481903252,-1,10,6000,AFE
33,16.0005268049933,0.434294481903252,0,10,6000,WBIC
33,15.7461888398378,0.434294481903252,1,10,6000,naiveBIC(1)
33,15.8189479478866,0.434294481903252,10,10,6000,naiveBIC(10)
34,16.2976290520033,0.434294481903252,-1,10,6000,AFE
34,16.0589517027242,0.434294481903252,0,10,6000,WBIC
34,15.8586382554324,0.434294481903252,1,10,6000,naiveBIC(1)
34,15.8392027984197,0.434294481903252,10,10,6000,naiveBIC(10)
35,16.2976257100661,0.434294481903252,-1,10,6000,AFE
35,16.0479446098729,0.434294481903252,0,10,6000,WBIC
35,15.8425487096867,0.434294481903252,1,10,6000,naiveBIC(1)
35,15.8694927023779,0.434294481903252,10,10,6000,naiveBIC(10)
36,16.297628420383,0.434294481903252,-1,10,6000,AFE
36,15.9832396342372,0.434294481903252,0,10,6000,WBIC
36,15.6939438959359,0.434294481903252,1,10,6000,naiveBIC(1)
36,15.8555693527941,0.434294481903252,10,10,6000,naiveBIC(10)
37,16.2976234661721,0.434294481903252,-1,10,6000,AFE
37,16.007503081668,0.434294481903252,0,10,6000,WBIC
37,15.9840542732686,0.434294481903252,1,10,6000,naiveBIC(1)
37,15.8532247534914,0.434294481903252,10,10,6000,naiveBIC(10)
38,16.2976432393928,0.434294481903252,-1,10,6000,AFE
38,16.0778869375293,0.434294481903252,0,10,6000,WBIC
38,15.9946068274803,0.434294481903252,1,10,6000,naiveBIC(1)
38,15.798122475616,0.434294481903252,10,10,6000,naiveBIC(10)
39,16.2976245180119,0.434294481903252,-1,10,6000,AFE
39,16.0533480874154,0.434294481903252,0,10,6000,WBIC
39,15.8268484676455,0.434294481903252,1,10,6000,naiveBIC(1)
39,15.863876233989,0.434294481903252,10,10,6000,naiveBIC(10)
40,16.297630472192,0.434294481903252,-1,10,6000,AFE
40,16.057208942392,0.434294481903252,0,10,6000,WBIC
40,15.8370200175297,0.434294481903252,1,10,6000,naiveBIC(1)
40,15.7815876819958,0.434294481903252,10,10,6000,naiveBIC(10)
41,16.297640093858,0.434294481903252,-1,10,6000,AFE
41,15.9889410465848,0.434294481903252,0,10,6000,WBIC
41,15.7315130472097,0.434294481903252,1,10,6000,naiveBIC(1)
41,15.8350004261534,0.434294481903252,10,10,6000,naiveBIC(10)
42,16.2976304382705,0.434294481903252,-1,10,6000,AFE
42,16.058701590787,0.434294481903252,0,10,6000,WBIC
42,15.9337499682411,0.434294481903252,1,10,6000,naiveBIC(1)
42,15.8313522977153,0.434294481903252,10,10,6000,naiveBIC(10)
43,16.2976343688334,0.434294481903252,-1,10,6000,AFE
43,15.9938546360815,0.434294481903252,0,10,6000,WBIC
43,15.7943064590048,0.434294481903252,1,10,6000,naiveBIC(1)
43,15.8448496446495,0.434294481903252,10,10,6000,naiveBIC(10)
