ctrial,ge,cn,cchain_size,cname
1,0.0389284845087416,250,10000,Gn
1,0.0389930276405923,10,10000,Gn
1,1.46607384606838,10,10000,Tn
2,0.0384766778319883,10,10000,Gn
2,1.46525112062405,10,10000,Tn
3,0.038385331355121,10,10000,Gn
3,1.46560005008072,10,10000,Tn
4,0.037324065401465,10,10000,Gn
4,1.46595749032244,10,10000,Tn
5,0.0403277773511406,10,10000,Gn
5,1.46554304727303,10,10000,Tn
6,0.0387370281817121,10,10000,Gn
6,1.46597208269575,10,10000,Tn
7,0.0396602154486831,10,10000,Gn
7,1.4650951584241,10,10000,Tn
8,0.0385720023786587,10,10000,Gn
8,1.46566924996289,10,10000,Tn
9,0.0378203018111101,10,10000,Gn
9,1.46552625608283,10,10000,Tn
10,0.0394876073203831,10,10000,Gn
10,1.46549772428154,10,10000,Tn
11,0.0387926173374642,10,10000,Gn
11,1.46572378128307,10,10000,Tn
12,0.0396225770557714,10,10000,Gn
12,1.46560286907924,10,10000,Tn
13,0.0385500031529693,10,10000,Gn
13,1.46633506562874,10,10000,Tn
14,0.0381908996935423,10,10000,Gn
14,1.46603501011042,10,10000,Tn
15,0.0392113344953846,10,10000,Gn
15,1.4664953596868,10,10000,Tn
16,0.0391102251879849,10,10000,Gn
16,1.465946997907,10,10000,Tn
17,0.0389768010199274,10,10000,Gn
17,1.46610622622372,10,10000,Tn
18,0.0376880634839254,10,10000,Gn
18,1.46596427279945,10,10000,Tn
19,0.0396181848038943,10,10000,Gn
19,1.46614472162042,10,10000,Tn
20,0.0391476571808236,10,10000,Gn
20,1.46605072629584,10,10000,Tn
21,0.0376067148414696,10,10000,Gn
21,1.46616238156282,10,10000,Tn
22,0.0381254632152186,10,10000,Gn
22,1.46600851329135,10,10000,Tn
23,0.0381565549775282,10,10000,Gn
23,1.46566703167045,10,10000,Tn
24,0.0379467701877139,10,10000,Gn
24,1.46617780348939,10,10000,Tn
25,0.0373002617556784,10,10000,Gn
25,1.46625532580871,10,10000,Tn
26,0.0376328398412895,10,10000,Gn
26,1.46546900849794,10,10000,Tn
27,0.0372093893157495,10,10000,Gn
27,1.46588846042167,10,10000,Tn
28,0.0379830554974483,10,10000,Gn
28,1.46616939432844,10,10000,Tn
29,0.0384857839271766,10,10000,Gn
29,1.46668985105404,10,10000,Tn
30,0.0373700328609248,10,10000,Gn
30,1.46663194888925,10,10000,Tn
31,0.0379511487841533,10,10000,Gn
31,1.46600181285947,10,10000,Tn
32,0.0381048400195816,10,10000,Gn
32,1.46618737026624,10,10000,Tn
33,0.0379213297511531,10,10000,Gn
33,1.46543954228005,10,10000,Tn
34,0.0401558846057026,10,10000,Gn
34,1.46594185707967,10,10000,Tn
35,0.0379862117833618,10,10000,Gn
35,1.46546093628651,10,10000,Tn
36,0.0394207387635663,10,10000,Gn
36,1.46528223852582,10,10000,Tn
37,0.0382569751754598,10,10000,Gn
37,1.4662506832533,10,10000,Tn
38,0.0397887221112714,10,10000,Gn
38,1.46590999399206,10,10000,Tn
39,0.0377735401247539,10,10000,Gn
39,1.46659261579144,10,10000,Tn
40,0.0386265065264118,10,10000,Gn
40,1.46585388153804,10,10000,Tn
41,0.0383862375673361,10,10000,Gn
41,1.4656687685109,10,10000,Tn
42,0.039659154956422,10,10000,Gn
42,1.46598744998121,10,10000,Tn
43,0.0380809069372796,10,10000,Gn
43,1.4661076633098,10,10000,Tn
44,0.0373526213318027,10,10000,Gn
44,1.46572189246475,10,10000,Tn
45,0.0395462070498456,10,10000,Gn
45,1.46581258590664,10,10000,Tn
46,0.0397234882404263,10,10000,Gn
46,1.46562909981553,10,10000,Tn
47,0.0371672238289948,10,10000,Gn
47,1.46655092734462,10,10000,Tn
48,0.038447314343625,10,10000,Gn
48,1.46580371882711,10,10000,Tn
49,0.0386886400951714,10,10000,Gn
49,1.46591944687965,10,10000,Tn
50,0.0373792970214841,10,10000,Gn
50,1.4658404767379,10,10000,Tn
51,0.0380121165161516,10,10000,Gn
51,1.46599522525735,10,10000,Tn
52,0.0385862266961539,10,10000,Gn
52,1.4661197984894,10,10000,Tn
53,0.0393766786888774,10,10000,Gn
53,1.46603345840945,10,10000,Tn
54,0.0388149371331799,10,10000,Gn
54,1.46611817345753,10,10000,Tn
55,0.038353251219599,10,10000,Gn
55,1.4659897632739,10,10000,Tn
56,0.039089399103009,10,10000,Gn
56,1.46551005142982,10,10000,Tn
57,0.0384084737479573,10,10000,Gn
57,1.46605210700779,10,10000,Tn
58,0.0386482244004109,10,10000,Gn
58,1.46551690019705,10,10000,Tn
59,0.0378416665200323,10,10000,Gn
59,1.46620247001527,10,10000,Tn
60,0.037451482828665,10,10000,Gn
60,1.46580001923651,10,10000,Tn
61,0.0394379376618657,10,10000,Gn
61,1.4661279093371,10,10000,Tn
62,0.0385639407723493,10,10000,Gn
62,1.46626042838278,10,10000,Tn
63,0.0391153946001703,10,10000,Gn
63,1.4659640022927,10,10000,Tn
64,0.0384550585285079,10,10000,Gn
64,1.46628231060649,10,10000,Tn
65,0.0393490795569336,10,10000,Gn
65,1.46552390290902,10,10000,Tn
66,0.039067612981611,10,10000,Gn
66,1.46604269663216,10,10000,Tn
67,0.0383438324298393,10,10000,Gn
67,1.46540873551321,10,10000,Tn
68,0.0377468263004062,10,10000,Gn
68,1.46651910207597,10,10000,Tn
69,0.0381561205207877,10,10000,Gn
69,1.46550637124484,10,10000,Tn
70,0.0387909082003222,10,10000,Gn
70,1.46609811744711,10,10000,Tn
71,0.0383369760775947,10,10000,Gn
71,1.4656865826357,10,10000,Tn
72,0.0375309916874564,10,10000,Gn
72,1.46673535866089,10,10000,Tn
73,0.0370699659253859,10,10000,Gn
73,1.46601768681947,10,10000,Tn
74,0.0377871736237079,10,10000,Gn
74,1.46567922216736,10,10000,Tn
75,0.0382853997265076,10,10000,Gn
75,1.46554120416913,10,10000,Tn
76,0.0388661251418758,10,10000,Gn
76,1.46563417305465,10,10000,Tn
77,0.0381035455001959,10,10000,Gn
77,1.46547351457265,10,10000,Tn
78,0.0382835609338716,10,10000,Gn
78,1.4664015821682,10,10000,Tn
79,0.0383949736656131,10,10000,Gn
79,1.466109558921,10,10000,Tn
80,0.0396426541712072,10,10000,Gn
80,1.46582570249002,10,10000,Tn
81,0.0390385694368827,10,10000,Gn
81,1.46637503811947,10,10000,Tn
82,0.0394792490596692,10,10000,Gn
82,1.46577669698441,10,10000,Tn
83,0.0396524133690257,10,10000,Gn
83,1.46539577584096,10,10000,Tn
84,0.038762546507898,10,10000,Gn
84,1.46593268194913,10,10000,Tn
