trial,RLCT,beta,c,n,chain_size
1,0.620137587198435,0.108573620475813,0.5,100,6000
1,0.681969884377533,0.0943695829088774,0.5,200,6000
1,0.701905896540505,0.087661127019073,0.5,300,6000
1,0.72361854752508,0.0834520501738335,0.5,400,6000
1,0.728176171891811,0.0804555962470012,0.5,500,6000
1,0.759788459341031,0.0781624977839631,0.5,600,6000
1,0.671045642316928,0.0763232893550965,0.5,700,6000
1,0.758868684408174,0.0747986600224627,0.5,800,6000
1,0.73584215126298,0.0735035259488015,0.5,900,6000
1,0.788362063509763,0.072382413650542,0.5,1000,6000
1,0.723053772171934,0.0713973049291822,0.5,1100,6000
1,0.709749117260565,0.0705210975256334,0.5,1200,6000
1,0.705483317471115,0.0697338443201805,0.5,1300,6000
1,0.713284641349976,0.06902047166838,0.5,1400,6000
1,0.803257926190135,0.0683693330071971,0.5,1500,6000
1,0.701329070624778,0.0677712576704542,0.5,1600,6000
1,0.832245097922799,0.0672189055566246,0.5,1700,6000
1,0.777590606080512,0.066706317400833,0.5,1800,6000
1,0.820604427696087,0.066228593965866,0.5,1900,6000
1,0.692275525985369,0.065781662461976,0.5,2000,6000
1,0.60522074923642,0.217147240951626,1,100,6000
1,0.707308312049392,0.188739165817755,1,200,6000
1,0.733743089150222,0.175322254038146,1,300,6000
1,0.771024963604951,0.166904100347667,1,400,6000
1,0.756836175362571,0.160911192494003,1,500,6000
1,0.755336403639238,0.156324995567926,1,600,6000
1,0.813763726391092,0.152646578710193,1,700,6000
1,0.723336339481795,0.149597320044925,1,800,6000
1,0.76786297255627,0.147007051897603,1,900,6000
1,0.719007736421114,0.144764827301084,1,1000,6000
1,0.788047659223303,0.142794609858364,1,1100,6000
1,0.679214857438051,0.141042195051267,1,1200,6000
1,0.744594113817847,0.139467688640361,1,1300,6000
1,0.756620963519196,0.13804094333676,1,1400,6000
1,0.799942693235244,0.136738666014394,1,1500,6000
1,0.706706895755131,0.135542515340908,1,1600,6000
1,0.734467130512831,0.134437811113249,1,1700,6000
1,0.771537056654335,0.133412634801666,1,1800,6000
1,0.713990592995065,0.132457187931732,1,1900,6000
1,0.725468048359864,0.131563324923952,1,2000,6000
1,0.754604269054912,0.325720861427439,1.5,100,6000
1,0.674653558723143,0.283108748726632,1.5,200,6000
1,0.714940014054313,0.262983381057219,1.5,300,6000
1,0.75359574868766,0.250356150521501,1.5,400,6000
1,0.60590990042249,0.241366788741004,1.5,500,6000
1,0.80112179826085,0.234487493351889,1.5,600,6000
1,0.692905482173184,0.228969868065289,1.5,700,6000
1,0.708406596578004,0.224395980067388,1.5,800,6000
1,0.796281009151214,0.220510577846405,1.5,900,6000
1,0.779724856347233,0.217147240951626,1.5,1000,6000
1,0.731324967865169,0.214191914787547,1.5,1100,6000
1,0.729025772214266,0.2115632925769,1.5,1200,6000
1,0.730925465471425,0.209201532960542,1.5,1300,6000
1,0.777065479879128,0.20706141500514,1.5,1400,6000
1,0.701446964420212,0.205107999021591,1.5,1500,6000
1,0.630353936713473,0.203313773011363,1.5,1600,6000
1,0.693234414835309,0.201656716669874,1.5,1700,6000
1,0.728802014365691,0.200118952202499,1.5,1800,6000
1,0.756476809809643,0.198685781897598,1.5,1900,6000
1,0.757559685765884,0.197344987385928,1.5,2000,6000
1,0.770868274880119,0.434294481903252,2,100,6000
1,0.68753918039642,0.37747833163551,2,200,6000
1,0.64999960951979,0.350644508076292,2,300,6000
1,0.810833524652013,0.333808200695334,2,400,6000
1,0.70265020499188,0.321822384988005,2,500,6000
1,0.655350436673283,0.312649991135852,2,600,6000
1,0.711707167126095,0.305293157420386,2,700,6000
1,0.740221466534319,0.299194640089851,2,800,6000
1,0.929807766720908,0.294014103795206,2,900,6000
1,0.753036345174713,0.289529654602168,2,1000,6000
1,0.724325008351646,0.285589219716729,2,1100,6000
1,0.678789452366179,0.282084390102534,2,1200,6000
1,0.627397923535726,0.278935377280722,2,1300,6000
1,0.738771016607618,0.27608188667352,2,1400,6000
1,0.722705353378594,0.273477332028789,2,1500,6000
1,0.741356693614886,0.271085030681817,2,1600,6000
1,0.792363633982975,0.268875622226498,2,1700,6000
1,0.76666477472699,0.266825269603332,2,1800,6000
1,0.759774521963993,0.264914375863464,2,1900,6000
1,0.662098610994331,0.263126649847904,2,2000,6000
1,0.726961188880849,0.542868102379065,2.5,100,6000
1,0.701055003021884,0.471847914544387,2.5,200,6000
1,0.737422114544561,0.438305635095365,2.5,300,6000
1,0.754396833034746,0.417260250869168,2.5,400,6000
1,0.762129873615379,0.402277981235006,2.5,500,6000
1,0.783931048126065,0.390812488919816,2.5,600,6000
1,0.684326725349843,0.381616446775482,2.5,700,6000
1,0.747529812278098,0.373993300112313,2.5,800,6000
1,0.8857323984493,0.367517629744008,2.5,900,6000
1,0.846156339322026,0.36191206825271,2.5,1000,6000
