,n_trials,x_0,x_1,x_2
0,100,24,33,32
1,100,19,41,24
2,100,27,25,33
3,100,17,27,26
4,100,23,26,27
5,100,43,28,26
6,100,23,30,28
7,100,27,37,38
8,100,30,35,34
9,100,22,28,30
10,100,18,26,29
11,100,19,33,26
12,100,17,32,33
13,100,37,37,26
14,100,20,30,30
15,100,34,38,27
16,100,23,29,32
17,100,25,29,34
18,100,28,27,19
19,100,19,23,30
20,100,35,28,25
21,100,24,28,29
22,100,30,33,36
23,100,31,33,33
24,100,32,31,33
25,100,23,29,26
26,100,20,27,20
27,100,27,28,30
28,100,18,29,32
29,100,29,31,28
30,100,35,35,32
31,100,24,29,22
32,100,16,39,30
33,100,22,24,35
34,100,36,23,30
35,100,23,26,29
36,100,30,24,22
37,100,23,28,35
38,100,26,20,28
39,100,38,33,38
40,100,19,26,33
41,100,27,29,34
42,100,30,28,23
43,100,26,34,27
44,100,22,29,34
45,100,26,29,30
46,100,27,26,37
47,100,25,34,35
48,100,18,33,26
49,100,30,28,24
50,100,18,32,25
51,100,27,29,26
52,100,28,31,34
53,100,25,23,29
54,100,33,28,26
55,100,30,26,36
56,100,18,28,31
57,100,29,35,37
58,100,26,30,31
59,100,23,27,32
60,100,29,29,20
61,100,16,25,27
62,100,16,20,24
63,100,25,25,31
64,100,21,32,30
65,100,14,29,28
66,100,40,31,33
67,100,15,19,24
68,100,18,25,28
69,100,22,31,33
70,100,26,24,33
71,100,29,41,34
72,100,34,28,35
73,100,33,30,24
74,100,23,39,38
75,100,34,28,23
76,100,22,21,24
77,100,36,26,33
78,100,33,35,28
79,100,33,27,27
80,100,29,37,41
81,100,33,32,39
82,100,37,30,34
83,100,20,33,32
84,100,31,36,34
85,100,25,40,28
86,100,29,26,30
87,100,30,30,22
88,100,11,34,35
89,100,17,25,30
90,100,19,33,29
91,100,34,28,24
92,100,19,39,28
93,100,24,29,24
94,100,25,29,38
95,100,34,40,23
96,100,25,38,37
97,100,22,29,35
98,100,13,30,23
99,100,31,39,38
100,100,24,36,28
101,100,33,29,28
102,100,27,29,32
103,100,11,36,34
104,100,24,31,30
105,100,20,33,20
