trial,FE,beta,m,n,chain_size,name
1,16.3041020521614,0.434294481903252,-1,10,2000,AFE
2,16.3072937075022,0.434294481903252,-1,10,2000,AFE
3,16.3052834182879,0.434294481903252,-1,10,2000,AFE
4,16.3070159957029,0.434294481903252,-1,10,2000,AFE
5,16.3061338895183,0.434294481903252,-1,10,2000,AFE
5,16.3061338895183,0.434294481903252,-1,10,2000,AFE
1,15.5842789930113,0.434294481903252,0,10,2000,WBIC
5,16.3061338895183,0.434294481903252,-1,10,2000,AFE
1,15.5842789930113,0.434294481903252,0,10,2000,WBIC
2,15.5879566752194,0.434294481903252,0,10,2000,WBIC
5,16.3061338895183,0.434294481903252,-1,10,2000,AFE
1,15.5842789930113,0.434294481903252,0,10,2000,WBIC
2,15.5879566752194,0.434294481903252,0,10,2000,WBIC
3,15.5921436094376,0.434294481903252,0,10,2000,WBIC
5,16.3061338895183,0.434294481903252,-1,10,2000,AFE
1,15.5842789930113,0.434294481903252,0,10,2000,WBIC
2,15.5879566752194,0.434294481903252,0,10,2000,WBIC
3,15.5921436094376,0.434294481903252,0,10,2000,WBIC
4,15.5831463722449,0.434294481903252,0,10,2000,WBIC
5,16.3061338895183,0.434294481903252,-1,10,2000,AFE
1,15.5842789930113,0.434294481903252,0,10,2000,WBIC
2,15.5879566752194,0.434294481903252,0,10,2000,WBIC
3,15.5921436094376,0.434294481903252,0,10,2000,WBIC
4,15.5831463722449,0.434294481903252,0,10,2000,WBIC
5,15.4238963384699,0.434294481903252,0,10,2000,WBIC
1,16.3207695479177,0.434294481903252,-1,10,4000,AFE
2,16.3030265283894,0.434294481903252,-1,10,4000,AFE
3,16.307877496656,0.434294481903252,-1,10,4000,AFE
4,16.3047984717164,0.434294481903252,-1,10,4000,AFE
5,16.3037658899217,0.434294481903252,-1,10,4000,AFE
5,16.3037658899217,0.434294481903252,-1,10,4000,AFE
1,15.5232807986034,0.434294481903252,0,10,4000,WBIC
5,16.3037658899217,0.434294481903252,-1,10,4000,AFE
1,15.5232807986034,0.434294481903252,0,10,4000,WBIC
2,15.5150427359496,0.434294481903252,0,10,4000,WBIC
5,16.3037658899217,0.434294481903252,-1,10,4000,AFE
1,15.5232807986034,0.434294481903252,0,10,4000,WBIC
2,15.5150427359496,0.434294481903252,0,10,4000,WBIC
3,15.54790972159,0.434294481903252,0,10,4000,WBIC
5,16.3037658899217,0.434294481903252,-1,10,4000,AFE
1,15.5232807986034,0.434294481903252,0,10,4000,WBIC
2,15.5150427359496,0.434294481903252,0,10,4000,WBIC
3,15.54790972159,0.434294481903252,0,10,4000,WBIC
4,15.5260726166825,0.434294481903252,0,10,4000,WBIC
5,16.3037658899217,0.434294481903252,-1,10,4000,AFE
1,15.5232807986034,0.434294481903252,0,10,4000,WBIC
2,15.5150427359496,0.434294481903252,0,10,4000,WBIC
3,15.54790972159,0.434294481903252,0,10,4000,WBIC
4,15.5260726166825,0.434294481903252,0,10,4000,WBIC
5,15.5838549711795,0.434294481903252,0,10,4000,WBIC
1,16.3138976242443,0.434294481903252,-1,10,6000,AFE
2,17.032969506066,0.434294481903252,-1,10,6000,AFE
3,16.3486456574671,0.434294481903252,-1,10,6000,AFE
4,16.3065202425223,0.434294481903252,-1,10,6000,AFE
5,16.7721546727306,0.434294481903252,-1,10,6000,AFE
5,16.7721546727306,0.434294481903252,-1,10,6000,AFE
1,15.5275406135912,0.434294481903252,0,10,6000,WBIC
5,16.7721546727306,0.434294481903252,-1,10,6000,AFE
1,15.5275406135912,0.434294481903252,0,10,6000,WBIC
2,15.5486747466688,0.434294481903252,0,10,6000,WBIC
5,16.7721546727306,0.434294481903252,-1,10,6000,AFE
1,15.5275406135912,0.434294481903252,0,10,6000,WBIC
2,15.5486747466688,0.434294481903252,0,10,6000,WBIC
3,15.6001048351281,0.434294481903252,0,10,6000,WBIC
5,16.7721546727306,0.434294481903252,-1,10,6000,AFE
1,15.5275406135912,0.434294481903252,0,10,6000,WBIC
2,15.5486747466688,0.434294481903252,0,10,6000,WBIC
3,15.6001048351281,0.434294481903252,0,10,6000,WBIC
4,15.5493738601794,0.434294481903252,0,10,6000,WBIC
5,16.7721546727306,0.434294481903252,-1,10,6000,AFE
1,15.5275406135912,0.434294481903252,0,10,6000,WBIC
2,15.5486747466688,0.434294481903252,0,10,6000,WBIC
3,15.6001048351281,0.434294481903252,0,10,6000,WBIC
4,15.5493738601794,0.434294481903252,0,10,6000,WBIC
5,15.5027888766912,0.434294481903252,0,10,6000,WBIC
1,16.295924696621,0.434294481903252,-1,10,10000,AFE
2,16.3202031573436,0.434294481903252,-1,10,10000,AFE
3,16.3054300292624,0.434294481903252,-1,10,10000,AFE
4,16.3043952250118,0.434294481903252,-1,10,10000,AFE
5,16.3026003767619,0.434294481903252,-1,10,10000,AFE
5,16.3026003767619,0.434294481903252,-1,10,10000,AFE
1,15.5272634413662,0.434294481903252,0,10,10000,WBIC
5,16.3026003767619,0.434294481903252,-1,10,10000,AFE
1,15.5272634413662,0.434294481903252,0,10,10000,WBIC
2,15.5524694764914,0.434294481903252,0,10,10000,WBIC
5,16.3026003767619,0.434294481903252,-1,10,10000,AFE
1,15.5272634413662,0.434294481903252,0,10,10000,WBIC
2,15.5524694764914,0.434294481903252,0,10,10000,WBIC
3,15.5744802326996,0.434294481903252,0,10,10000,WBIC
5,16.3026003767619,0.434294481903252,-1,10,10000,AFE
1,15.5272634413662,0.434294481903252,0,10,10000,WBIC
2,15.5524694764914,0.434294481903252,0,10,10000,WBIC
3,15.5744802326996,0.434294481903252,0,10,10000,WBIC
4,15.5355430829224,0.434294481903252,0,10,10000,WBIC
5,16.3026003767619,0.434294481903252,-1,10,10000,AFE
1,15.5272634413662,0.434294481903252,0,10,10000,WBIC
2,15.5524694764914,0.434294481903252,0,10,10000,WBIC
3,15.5744802326996,0.434294481903252,0,10,10000,WBIC
4,15.5355430829224,0.434294481903252,0,10,10000,WBIC
5,15.5794810844468,0.434294481903252,0,10,10000,WBIC
1,77.6625740445219,0.255622218635331,-1,50,2000,AFE
2,77.6699552390037,0.255622218635331,-1,50,2000,AFE
3,77.6701308510168,0.255622218635331,-1,50,2000,AFE
4,77.6624555469257,0.255622218635331,-1,50,2000,AFE
