ctrial,cFE,cbeta,cm,cn,cchain_size,cname
1,16.3098961117558,0.434294481903252,-1,10,6000,AFE
2,16.306767679283,0.434294481903252,-1,10,6000,AFE
1,15.5417593746421,0.434294481903252,0,10,6000,WBIC
1,15.2092589305801,0.434294481903252,1,10,6000,naiveBIC(1)
1,15.3039209640957,0.434294481903252,10,10,6000,naiveBIC(10)
2,15.5423575426973,0.434294481903252,0,10,6000,WBIC
2,15.1776808588671,0.434294481903252,1,10,6000,naiveBIC(1)
2,15.2527850996619,0.434294481903252,10,10,6000,naiveBIC(10)
3,19.9655035963688,0.434294481903252,-1,10,6000,AFE
3,15.5497238209824,0.434294481903252,0,10,6000,WBIC
3,15.1417369192044,0.434294481903252,1,10,6000,naiveBIC(1)
3,15.2475001622953,0.434294481903252,10,10,6000,naiveBIC(10)
4,16.3069742233632,0.434294481903252,-1,10,6000,AFE
4,15.5741479590387,0.434294481903252,0,10,6000,WBIC
4,15.3878313109079,0.434294481903252,1,10,6000,naiveBIC(1)
4,15.9147632235769,0.434294481903252,10,10,6000,naiveBIC(10)
5,16.3017984058824,0.434294481903252,-1,10,6000,AFE
5,15.5462859221237,0.434294481903252,0,10,6000,WBIC
5,15.2036342609501,0.434294481903252,1,10,6000,naiveBIC(1)
5,15.251049959703,0.434294481903252,10,10,6000,naiveBIC(10)
6,16.3019884186725,0.434294481903252,-1,10,6000,AFE
6,15.4820197854323,0.434294481903252,0,10,6000,WBIC
6,15.2780267857783,0.434294481903252,1,10,6000,naiveBIC(1)
6,15.2603752415729,0.434294481903252,10,10,6000,naiveBIC(10)
7,16.3047829379446,0.434294481903252,-1,10,6000,AFE
7,15.5550294963142,0.434294481903252,0,10,6000,WBIC
7,15.2966939693757,0.434294481903252,1,10,6000,naiveBIC(1)
7,16.880843754787,0.434294481903252,10,10,6000,naiveBIC(10)
8,16.3099022627901,0.434294481903252,-1,10,6000,AFE
8,15.5783528364127,0.434294481903252,0,10,6000,WBIC
8,15.4437022964468,0.434294481903252,1,10,6000,naiveBIC(1)
8,15.256275449768,0.434294481903252,10,10,6000,naiveBIC(10)
9,16.3037311022829,0.434294481903252,-1,10,6000,AFE
9,15.5075374388995,0.434294481903252,0,10,6000,WBIC
9,15.977929184438,0.434294481903252,1,10,6000,naiveBIC(1)
9,15.2373244804091,0.434294481903252,10,10,6000,naiveBIC(10)
10,16.3098961117558,0.434294481903252,-1,10,6000,AFE
10,15.5521652362018,0.434294481903252,0,10,6000,WBIC
10,15.286052586768,0.434294481903252,1,10,6000,naiveBIC(1)
10,15.6167953422231,0.434294481903252,10,10,6000,naiveBIC(10)
11,16.3000100300095,0.434294481903252,-1,10,6000,AFE
11,15.4814140446615,0.434294481903252,0,10,6000,WBIC
11,15.1776808588671,0.434294481903252,1,10,6000,naiveBIC(1)
11,15.2527850996619,0.434294481903252,10,10,6000,naiveBIC(10)
12,19.9655035963688,0.434294481903252,-1,10,6000,AFE
12,15.5497238209824,0.434294481903252,0,10,6000,WBIC
12,15.1417369192044,0.434294481903252,1,10,6000,naiveBIC(1)
12,15.2475001622953,0.434294481903252,10,10,6000,naiveBIC(10)
13,16.3069742233632,0.434294481903252,-1,10,6000,AFE
13,15.5741479590387,0.434294481903252,0,10,6000,WBIC
13,15.3878313109079,0.434294481903252,1,10,6000,naiveBIC(1)
13,15.9147632235769,0.434294481903252,10,10,6000,naiveBIC(10)
14,16.3017984058824,0.434294481903252,-1,10,6000,AFE
14,15.5462859221237,0.434294481903252,0,10,6000,WBIC
14,15.2036342609501,0.434294481903252,1,10,6000,naiveBIC(1)
14,15.251049959703,0.434294481903252,10,10,6000,naiveBIC(10)
15,16.3019884186725,0.434294481903252,-1,10,6000,AFE
15,15.4820197854323,0.434294481903252,0,10,6000,WBIC
15,15.2780267857783,0.434294481903252,1,10,6000,naiveBIC(1)
15,15.2603752415729,0.434294481903252,10,10,6000,naiveBIC(10)
16,16.3047829379446,0.434294481903252,-1,10,6000,AFE
16,15.5550294963142,0.434294481903252,0,10,6000,WBIC
16,15.2966939693757,0.434294481903252,1,10,6000,naiveBIC(1)
16,16.880843754787,0.434294481903252,10,10,6000,naiveBIC(10)
17,16.3099022627901,0.434294481903252,-1,10,6000,AFE
17,15.5783528364127,0.434294481903252,0,10,6000,WBIC
17,15.2115022516573,0.434294481903252,1,10,6000,naiveBIC(1)
17,15.2341249662105,0.434294481903252,10,10,6000,naiveBIC(10)
18,16.3069308236437,0.434294481903252,-1,10,6000,AFE
18,15.5444185194041,0.434294481903252,0,10,6000,WBIC
18,15.2711915470069,0.434294481903252,1,10,6000,naiveBIC(1)
18,15.2867784469191,0.434294481903252,10,10,6000,naiveBIC(10)
19,16.3031649174159,0.434294481903252,-1,10,6000,AFE
19,15.5750927612698,0.434294481903252,0,10,6000,WBIC
19,17.3013300001876,0.434294481903252,1,10,6000,naiveBIC(1)
19,15.2458428846949,0.434294481903252,10,10,6000,naiveBIC(10)
20,16.30267808007,0.434294481903252,-1,10,6000,AFE
20,15.5554220521719,0.434294481903252,0,10,6000,WBIC
20,16.3421552054418,0.434294481903252,1,10,6000,naiveBIC(1)
20,15.2408064743665,0.434294481903252,10,10,6000,naiveBIC(10)
21,16.3106884730328,0.434294481903252,-1,10,6000,AFE
21,15.5827581716262,0.434294481903252,0,10,6000,WBIC
21,15.9852908723491,0.434294481903252,1,10,6000,naiveBIC(1)
21,15.2480507732753,0.434294481903252,10,10,6000,naiveBIC(10)
22,16.307507229056,0.434294481903252,-1,10,6000,AFE
22,15.5257416739146,0.434294481903252,0,10,6000,WBIC
22,17.9592433202315,0.434294481903252,1,10,6000,naiveBIC(1)
22,15.240114456224,0.434294481903252,10,10,6000,naiveBIC(10)
23,16.3126635424415,0.434294481903252,-1,10,6000,AFE
23,15.5367917720014,0.434294481903252,0,10,6000,WBIC
23,15.2229850452072,0.434294481903252,1,10,6000,naiveBIC(1)
23,15.2264042150308,0.434294481903252,10,10,6000,naiveBIC(10)
24,16.3080356920475,0.434294481903252,-1,10,6000,AFE
24,15.5323284736479,0.434294481903252,0,10,6000,WBIC
24,15.2740681014331,0.434294481903252,1,10,6000,naiveBIC(1)
24,16.5271281688409,0.434294481903252,10,10,6000,naiveBIC(10)
25,16.3038941138174,0.434294481903252,-1,10,6000,AFE
25,15.5349560512553,0.434294481903252,0,10,6000,WBIC
25,15.1997399408355,0.434294481903252,1,10,6000,naiveBIC(1)
25,15.2776200614502,0.434294481903252,10,10,6000,naiveBIC(10)
26,16.3469626414544,0.434294481903252,-1,10,6000,AFE
26,15.542856777247,0.434294481903252,0,10,6000,WBIC
26,15.2727092548114,0.434294481903252,1,10,6000,naiveBIC(1)
26,15.2565777549382,0.434294481903252,10,10,6000,naiveBIC(10)
27,16.3055507552788,0.434294481903252,-1,10,6000,AFE
27,15.5820331268094,0.434294481903252,0,10,6000,WBIC
27,15.2220459634763,0.434294481903252,1,10,6000,naiveBIC(1)
27,22.8009088736961,0.434294481903252,10,10,6000,naiveBIC(10)
28,16.3054682542936,0.434294481903252,-1,10,6000,AFE
28,15.5143169591012,0.434294481903252,0,10,6000,WBIC
28,15.2127532033053,0.434294481903252,1,10,6000,naiveBIC(1)
28,15.2459021006604,0.434294481903252,10,10,6000,naiveBIC(10)
29,16.3029863386828,0.434294481903252,-1,10,6000,AFE
29,15.5549345457154,0.434294481903252,0,10,6000,WBIC
29,15.2958952079627,0.434294481903252,1,10,6000,naiveBIC(1)
29,15.2258194963662,0.434294481903252,10,10,6000,naiveBIC(10)
30,16.3060278071412,0.434294481903252,-1,10,6000,AFE
30,15.5645809591936,0.434294481903252,0,10,6000,WBIC
30,16.6159106967481,0.434294481903252,1,10,6000,naiveBIC(1)
30,15.2718598344363,0.434294481903252,10,10,6000,naiveBIC(10)
31,16.3063977057905,0.434294481903252,-1,10,6000,AFE
31,15.6183063768376,0.434294481903252,0,10,6000,WBIC
31,19.1281225636274,0.434294481903252,1,10,6000,naiveBIC(1)
31,15.2356404914993,0.434294481903252,10,10,6000,naiveBIC(10)
32,16.9973632529909,0.434294481903252,-1,10,6000,AFE
32,15.5177201518135,0.434294481903252,0,10,6000,WBIC
32,15.2527986474399,0.434294481903252,1,10,6000,naiveBIC(1)
32,16.2599961229248,0.434294481903252,10,10,6000,naiveBIC(10)
33,16.2963979216411,0.434294481903252,-1,10,6000,AFE
33,15.541769935249,0.434294481903252,0,10,6000,WBIC
33,15.2546540401215,0.434294481903252,1,10,6000,naiveBIC(1)
33,15.7484678887208,0.434294481903252,10,10,6000,naiveBIC(10)
34,16.3080989354705,0.434294481903252,-1,10,6000,AFE
34,15.5279140581369,0.434294481903252,0,10,6000,WBIC
34,15.2794943451547,0.434294481903252,1,10,6000,naiveBIC(1)
34,15.2705664571876,0.434294481903252,10,10,6000,naiveBIC(10)
35,16.3056221779375,0.434294481903252,-1,10,6000,AFE
35,15.5314287493179,0.434294481903252,0,10,6000,WBIC
35,15.2683056940063,0.434294481903252,1,10,6000,naiveBIC(1)
35,15.2518458723169,0.434294481903252,10,10,6000,naiveBIC(10)
36,16.3049847837237,0.434294481903252,-1,10,6000,AFE
36,15.5626255607816,0.434294481903252,0,10,6000,WBIC
36,15.871387936332,0.434294481903252,1,10,6000,naiveBIC(1)
36,17.559906087526,0.434294481903252,10,10,6000,naiveBIC(10)
37,16.328480943232,0.434294481903252,-1,10,6000,AFE
37,15.5246868815061,0.434294481903252,0,10,6000,WBIC
37,15.2739380997916,0.434294481903252,1,10,6000,naiveBIC(1)
37,15.2655733211029,0.434294481903252,10,10,6000,naiveBIC(10)
38,16.2950686276731,0.434294481903252,-1,10,6000,AFE
38,15.5762478232681,0.434294481903252,0,10,6000,WBIC
38,15.2835975085949,0.434294481903252,1,10,6000,naiveBIC(1)
38,15.6555855763233,0.434294481903252,10,10,6000,naiveBIC(10)
39,16.3191321490856,0.434294481903252,-1,10,6000,AFE
39,15.5282704205142,0.434294481903252,0,10,6000,WBIC
39,15.1433357620706,0.434294481903252,1,10,6000,naiveBIC(1)
39,15.2321231657816,0.434294481903252,10,10,6000,naiveBIC(10)
40,16.3494595489969,0.434294481903252,-1,10,6000,AFE
40,15.6003445234485,0.434294481903252,0,10,6000,WBIC
40,15.1819066586019,0.434294481903252,1,10,6000,naiveBIC(1)
40,17.0493382822542,0.434294481903252,10,10,6000,naiveBIC(10)
41,17.8162350319613,0.434294481903252,-1,10,6000,AFE
41,15.5442193978986,0.434294481903252,0,10,6000,WBIC
41,15.2598412030439,0.434294481903252,1,10,6000,naiveBIC(1)
