trial,RLCT,beta,c,n,chain_size
1,0.112282464984841,0.0434294481903252,0.1,10,4000
1,0.319121473407875,0.0255622218635331,0.1,50,4000
1,0.377646552435034,0.0217147240951626,0.1,100,4000
1,0.434639766048058,0.0199575491191355,0.1,150,4000
1,0.546983884773677,0.0188739165817755,0.1,200,4000
1,0.562678314595857,0.0181111487498706,0.1,250,4000
1,0.574512071595525,0.0175322254038146,0.1,300,4000
1,0.678199572083281,0.0170708673798136,0.1,350,4000
1,0.604919639213759,0.0166904100347667,0.1,400,4000
1,0.63420212573518,0.0163686278294112,0.1,450,4000
1,0.597184457211954,0.0160911192494002,0.1,500,4000
1,0.494725980245399,0.434294481903252,1,10,4000
1,0.699342094934446,0.255622218635331,1,50,4000
1,0.641597552454906,0.217147240951626,1,100,4000
1,0.707410298115819,0.199575491191355,1,150,4000
1,0.753781749122935,0.188739165817755,1,200,4000
1,0.778283221327855,0.181111487498706,1,250,4000
1,0.702977942590092,0.175322254038146,1,300,4000
1,0.749407562581718,0.170708673798136,1,350,4000
1,0.81250861969695,0.166904100347667,1,400,4000
1,0.716936565881261,0.163686278294112,1,450,4000
1,0.705631772816895,0.160911192494003,1,500,4000
1,0.59582655921472,0.868588963806504,2,10,4000
1,0.92813620715126,0.511244437270663,2,50,4000
1,0.689977257120847,0.434294481903252,2,100,4000
1,0.781590436420025,0.39915098238271,2,150,4000
1,0.763185644247203,0.37747833163551,2,200,4000
1,0.761235539887957,0.362222974997411,2,250,4000
1,0.725004385087484,0.350644508076292,2,300,4000
1,0.847268175825033,0.341417347596271,2,350,4000
1,0.759685057059351,0.333808200695334,2,400,4000
1,0.830931373482812,0.327372556588224,2,450,4000
1,0.790267439132748,0.321822384988005,2,500,4000
2,0.123724603279303,0.0434294481903252,0.1,10,4000
2,0.309481806568393,0.0255622218635331,0.1,50,4000
2,0.377785649337172,0.0217147240951626,0.1,100,4000
2,0.541448890414318,0.0199575491191355,0.1,150,4000
2,0.520773186934633,0.0188739165817755,0.1,200,4000
2,0.602068814972962,0.0181111487498706,0.1,250,4000
2,0.544347975298573,0.0175322254038146,0.1,300,4000
2,0.610836102332124,0.0170708673798136,0.1,350,4000
2,0.645355355230234,0.0166904100347667,0.1,400,4000
2,0.582832373369238,0.0163686278294112,0.1,450,4000
2,0.652669978843308,0.0160911192494002,0.1,500,4000
2,0.563977466492608,0.434294481903252,1,10,4000
2,0.748025640557163,0.255622218635331,1,50,4000
2,0.624818814852844,0.217147240951626,1,100,4000
2,0.812754745185542,0.199575491191355,1,150,4000
2,0.701720565576934,0.188739165817755,1,200,4000
2,0.732945326097078,0.181111487498706,1,250,4000
2,0.670628640578499,0.175322254038146,1,300,4000
2,0.818522142118381,0.170708673798136,1,350,4000
2,0.785941754919977,0.166904100347667,1,400,4000
2,0.779622408179819,0.163686278294112,1,450,4000
2,0.705198565685249,0.160911192494003,1,500,4000
2,0.650437766475745,0.868588963806504,2,10,4000
2,0.816469885551138,0.511244437270663,2,50,4000
2,0.691995459761482,0.434294481903252,2,100,4000
2,0.893116686249507,0.39915098238271,2,150,4000
2,0.678721285062149,0.37747833163551,2,200,4000
2,0.77691079345132,0.362222974997411,2,250,4000
2,0.630396041086803,0.350644508076292,2,300,4000
2,0.906827480712014,0.341417347596271,2,350,4000
2,0.758509338041978,0.333808200695334,2,400,4000
2,0.649804433676395,0.327372556588224,2,450,4000
2,0.756518773168955,0.321822384988005,2,500,4000
3,0.112175255659153,0.0434294481903252,0.1,10,4000
3,0.324621035439493,0.0255622218635331,0.1,50,4000
3,0.375192572961494,0.0217147240951626,0.1,100,4000
3,0.584700228044321,0.0199575491191355,0.1,150,4000
3,0.525048818263141,0.0188739165817755,0.1,200,4000
3,0.566836444831625,0.0181111487498706,0.1,250,4000
3,0.590594693482082,0.0175322254038146,0.1,300,4000
3,0.574985082653399,0.0170708673798136,0.1,350,4000
3,0.60257176507382,0.0166904100347667,0.1,400,4000
3,0.635945719673534,0.0163686278294112,0.1,450,4000
3,0.683993967426628,0.0160911192494002,0.1,500,4000
3,0.5639074969571,0.434294481903252,1,10,4000
3,0.754692940907208,0.255622218635331,1,50,4000
3,0.632643959456493,0.217147240951626,1,100,4000
3,0.807862960676498,0.199575491191355,1,150,4000
3,0.75867628234133,0.188739165817755,1,200,4000
3,0.781935823546186,0.181111487498706,1,250,4000
3,0.597235017315332,0.175322254038146,1,300,4000
3,0.792311462147938,0.170708673798136,1,350,4000
3,0.712634937902748,0.166904100347667,1,400,4000
3,0.850208552657974,0.163686278294112,1,450,4000
3,0.627544380924188,0.160911192494003,1,500,4000
3,0.515551909730731,0.868588963806504,2,10,4000
3,0.804766541321934,0.511244437270663,2,50,4000
3,0.762698291009762,0.434294481903252,2,100,4000
3,0.818206446784859,0.39915098238271,2,150,4000
3,0.740865754230211,0.37747833163551,2,200,4000
3,0.806127659973554,0.362222974997411,2,250,4000
3,0.611213578203022,0.350644508076292,2,300,4000
3,0.861528923049071,0.341417347596271,2,350,4000
3,0.74433527121674,0.333808200695334,2,400,4000
3,0.7194729651888,0.327372556588224,2,450,4000
3,0.722574062988833,0.321822384988005,2,500,4000
4,0.102140169993402,0.0434294481903252,0.1,10,4000
4,0.344126639657387,0.0255622218635331,0.1,50,4000
4,0.366451344795718,0.0217147240951626,0.1,100,4000
4,0.482526149825801,0.0199575491191355,0.1,150,4000
4,0.451139314656965,0.0188739165817755,0.1,200,4000
4,0.621315974323542,0.0181111487498706,0.1,250,4000
4,0.590445204588025,0.0175322254038146,0.1,300,4000
4,0.644921399264247,0.0170708673798136,0.1,350,4000
4,0.638179882461862,0.0166904100347667,0.1,400,4000
4,0.617923330918489,0.0163686278294112,0.1,450,4000
4,0.638728013300643,0.0160911192494002,0.1,500,4000
4,0.511006105209366,0.434294481903252,1,10,4000
4,0.790084799447172,0.255622218635331,1,50,4000
4,0.594977747210797,0.217147240951626,1,100,4000
4,0.77237833858739,0.199575491191355,1,150,4000
4,0.746623684713098,0.188739165817755,1,200,4000
4,0.785214215403924,0.181111487498706,1,250,4000
4,0.711125038771741,0.175322254038146,1,300,4000
4,0.728327488863481,0.170708673798136,1,350,4000
4,0.715122522765664,0.166904100347667,1,400,4000
4,0.737995291627165,0.163686278294112,1,450,4000
4,0.730614573253291,0.160911192494003,1,500,4000
