,dsid,n,pname,mle,truth,estimate_fisher_info,estimate_var,estimate_std_error,abs_error,squared_error
0,regular,50,p0,0.14724496306528875,0.15,5.455521652984529,0.18340011979261167,0.4282524019694597,0.0027550369347112413,7.5902285116231125e-06
1,regular,50,p1,0.37050945592339946,0.35,0.02473059288477381,40.47200638038247,6.361761264019774,0.020509455923399478,0.00042063778227386593
2,regular,50,w0,0.7529610005216394,0.75,0.03438080837442468,29.126765402434913,5.396921845129398,0.0029610005216393898,8.767524089148738e-06
3,regular,250,p0,0.14611359656165723,0.15,23.742641432565158,0.0427342618397547,0.2067226689063265,0.0038864034383427615,1.5104131685562438e-05
4,regular,250,p1,0.3568640421481125,0.35,0.16094692168880004,6.214595049332084,2.492908953277693,0.006864042148112537,4.711507461106537e-05
5,regular,250,w0,0.7401362389249316,0.75,0.20277236811811883,5.004323779016154,2.2370345949529153,0.009863761075068367,9.729378254603386e-05
6,regular,5000,p0,0.15025730976494206,0.15,509.2750195617685,0.002003583759576117,0.04476140926709209,0.00025730976494206526,6.620831513454087e-08
7,regular,5000,p1,0.35265303317776886,0.35,2.181513908668954,0.4585041519421295,0.6771293465373728,0.002653033177768882,7.0385850423424524e-06
8,regular,5000,w0,0.7601100980971465,0.75,4.320015090134161,0.23614628839402343,0.4859488536811497,0.01011009809714647,0.00010221408353392466
9,e-singular,50,p0,0.27387561019004,0.25,4.9311050077691485,0.20828482821021424,0.4563823267943383,0.023875610190039975,0.0005700447619467407
10,e-singular,50,p1,0.5598345643184832,0.35,2.768708359223067e-09,364225767.2009245,19084.69981951313,0.20983456431848324,0.04403054438272768
11,e-singular,50,w0,0.9799817780582984,0.75,0.03113992159236436,32.87062207614321,5.733290684776345,0.22998177805829845,0.05289161823885644
12,e-singular,250,p0,0.2552423584925917,0.25,16.844772089479157,0.18513245493377714,0.43027021153430683,0.005242358492591692,2.748232256484824e-05
13,e-singular,250,p1,0.3623624424005245,0.35,0.19878858174162495,17.40705533822979,4.172176331152579,0.012362442400524531,0.00015282998210628673
14,e-singular,250,w0,0.8476696347490453,0.75,0.12070934959101307,20.261713804720657,4.501301345691116,0.09766963474904533,0.009539357552011924
15,e-singular,5000,p0,0.2492802568567728,0.25,252.48715490584942,0.011844278059893904,0.10883142037065355,0.0007197431432272028,5.180301922225738e-07
16,e-singular,5000,p1,0.35265115344639403,0.35,10.097519332277436,0.32888361358819773,0.5734837518083644,0.00265115344639405,7.0286145963270495e-06
17,e-singular,5000,w0,0.7702279468705866,0.75,2.276185764680901,1.014248614634275,1.0070991086453582,0.0202279468705866,0.0004091698345992742
18,singular1,50,p0,0.11527953500120486,0.15,1.3574736628727961,28.336458660373218,5.323200039485011,0.034720464998795136,0.001205510689732558
19,singular1,50,p1,0.15941321434945266,0.35,6.799873845443945,5.480806837978333,2.341112307852473,0.19058678565054732,0.03632332286460767
20,singular1,50,w0,0.27220060794522516,1.0,0.023113232116357022,2752.9093365796843,52.468174511599734,0.7277993920547748,0.5296919550752999
21,singular1,250,p0,0.11178716678659652,0.15,0.4482147793936242,77.13687414696851,8.782760052908682,0.03821283321340348,0.001460220622195392
22,singular1,250,p1,0.15582236499748248,0.35,55.762033842999664,0.4686142075608839,0.6845540209222964,0.1941776350025175,0.03770495393517091
23,singular1,250,w0,0.06591011543953862,1.0,0.11856782152933104,403.1672246894916,20.0790244954652,0.9340898845604614,0.8725239124381761
24,singular1,5000,p0,0.14512007263834933,0.15,583.7880241420012,10.891181507861004,3.3001790114872565,0.00487992736165066,2.381369105498677e-05
25,singular1,5000,p1,0.15681007078382367,0.35,188.85707217674616,34.937355848962106,5.91078301487731,0.1931899292161763,0.03732234875055121
26,singular1,5000,w0,0.6311438797516075,1.0,0.18980963407210766,127987.04487729684,357.75277060743616,0.36885612024839254,0.13605483744469662
