,dsid,n,pname,oname,ovalue
0,regular,50,p0,est_fisher_info,5.455521652984529
1,regular,50,p0,est_var,0.18340011979261167
2,regular,50,p0,actual_abs_error,0.0027550369347112413
3,regular,50,p1,est_fisher_info,0.02473059288477381
4,regular,50,p1,est_var,40.47200638038247
5,regular,50,p1,actual_abs_error,0.020509455923399478
6,regular,50,w0,est_fisher_info,0.03438080837442468
7,regular,50,w0,est_var,29.126765402434913
8,regular,50,w0,actual_abs_error,0.0029610005216393898
9,regular,250,p0,est_fisher_info,23.742641432565158
10,regular,250,p0,est_var,0.0427342618397547
11,regular,250,p0,actual_abs_error,0.0038864034383427615
12,regular,250,p1,est_fisher_info,0.16094692168880004
13,regular,250,p1,est_var,6.214595049332084
14,regular,250,p1,actual_abs_error,0.006864042148112537
15,regular,250,w0,est_fisher_info,0.20277236811811883
16,regular,250,w0,est_var,5.004323779016154
17,regular,250,w0,actual_abs_error,0.009863761075068367
18,regular,5000,p0,est_fisher_info,509.2750195617685
19,regular,5000,p0,est_var,0.002003583759576117
20,regular,5000,p0,actual_abs_error,0.00025730976494206526
21,regular,5000,p1,est_fisher_info,2.181513908668954
22,regular,5000,p1,est_var,0.4585041519421295
23,regular,5000,p1,actual_abs_error,0.002653033177768882
24,regular,5000,w0,est_fisher_info,4.320015090134161
25,regular,5000,w0,est_var,0.23614628839402343
26,regular,5000,w0,actual_abs_error,0.01011009809714647
27,e-singular,50,p0,est_fisher_info,4.9311050077691485
28,e-singular,50,p0,est_var,0.20828482821021424
29,e-singular,50,p0,actual_abs_error,0.023875610190039975
30,e-singular,50,p1,est_fisher_info,2.768708359223067e-09
31,e-singular,50,p1,est_var,364225767.2009245
32,e-singular,50,p1,actual_abs_error,0.20983456431848324
33,e-singular,50,w0,est_fisher_info,0.03113992159236436
34,e-singular,50,w0,est_var,32.87062207614321
35,e-singular,50,w0,actual_abs_error,0.22998177805829845
36,e-singular,250,p0,est_fisher_info,16.844772089479157
37,e-singular,250,p0,est_var,0.18513245493377714
38,e-singular,250,p0,actual_abs_error,0.005242358492591692
39,e-singular,250,p1,est_fisher_info,0.19878858174162495
40,e-singular,250,p1,est_var,17.40705533822979
41,e-singular,250,p1,actual_abs_error,0.012362442400524531
42,e-singular,250,w0,est_fisher_info,0.12070934959101307
43,e-singular,250,w0,est_var,20.261713804720657
44,e-singular,250,w0,actual_abs_error,0.09766963474904533
45,e-singular,5000,p0,est_fisher_info,252.48715490584942
46,e-singular,5000,p0,est_var,0.011844278059893904
47,e-singular,5000,p0,actual_abs_error,0.0007197431432272028
48,e-singular,5000,p1,est_fisher_info,10.097519332277436
49,e-singular,5000,p1,est_var,0.32888361358819773
50,e-singular,5000,p1,actual_abs_error,0.00265115344639405
51,e-singular,5000,w0,est_fisher_info,2.276185764680901
52,e-singular,5000,w0,est_var,1.014248614634275
53,e-singular,5000,w0,actual_abs_error,0.0202279468705866
54,singular1,50,p0,est_fisher_info,1.3574736628727961
55,singular1,50,p0,est_var,28.336458660373218
56,singular1,50,p0,actual_abs_error,0.034720464998795136
57,singular1,50,p1,est_fisher_info,6.799873845443945
58,singular1,50,p1,est_var,5.480806837978333
59,singular1,50,p1,actual_abs_error,0.009413214349452664
60,singular1,50,w0,est_fisher_info,0.023113232116357022
61,singular1,50,w0,est_var,2752.9093365796843
62,singular1,50,w0,actual_abs_error,0.27220060794522516
63,singular1,250,p0,est_fisher_info,0.4482147793936242
64,singular1,250,p0,est_var,77.13687414696851
65,singular1,250,p0,actual_abs_error,0.03821283321340348
66,singular1,250,p1,est_fisher_info,55.762033842999664
67,singular1,250,p1,est_var,0.4686142075608839
68,singular1,250,p1,actual_abs_error,0.005822364997482482
69,singular1,250,w0,est_fisher_info,0.11856782152933104
70,singular1,250,w0,est_var,403.1672246894916
71,singular1,250,w0,actual_abs_error,0.06591011543953862
72,singular1,5000,p0,est_fisher_info,583.7880241420012
73,singular1,5000,p0,est_var,10.891181507861004
74,singular1,5000,p0,actual_abs_error,0.00487992736165066
75,singular1,5000,p1,est_fisher_info,188.85707217674616
76,singular1,5000,p1,est_var,34.937355848962106
77,singular1,5000,p1,actual_abs_error,0.006810070783823674
78,singular1,5000,w0,est_fisher_info,0.18980963407210766
79,singular1,5000,w0,est_var,127987.04487729684
80,singular1,5000,w0,actual_abs_error,0.36885612024839254
