dsid,regime,n,trial,wbic,afe,efe,chains,draws,tune,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth
regular,50,50,0,156.0232218983866,158.1405919700168,129.74347538827635,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
e-singular,50,50,0,159.8889818782564,161.50403730732364,129.74347538827635,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,50,50,0,138.82643830474052,138.31637113316646,142.27224234449218,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,50,50,0,115.62843552218249,115.9907658160256,97.36492235093368,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",9
regular,250,250,0,808.2051582902656,781.4966396088778,613.6207416681856,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,250,250,0,780.6765528940975,776.4829768123495,613.6207416681856,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,250,250,0,690.8753710182962,690.1583027436614,697.3225576131823,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,250,250,0,564.316390497502,565.0728710888254,472.78595764538994,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,5000,5000,0,15865.140173815458,15420.426694435551,12017.63477044914,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,5000,5000,0,15362.976529158776,15228.36182665685,12017.63477044914,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",5
singular1,5000,5000,0,13817.97318607311,13819.653748822058,13844.539127097818,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,5000,5000,0,11019.922782623087,11021.17293198965,9353.80712774197,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,50,50,1,151.62088683086412,154.31033354082058,129.74347538827635,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,50,50,1,160.19475682925165,161.47600601166474,129.74347538827635,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,50,50,1,140.7394294879762,139.93580168460497,142.27224234449218,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,50,50,1,113.5876056270609,113.99218854418017,97.36492235093368,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",9
regular,250,250,1,822.1895032753588,793.9860321433686,613.6207416681856,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
e-singular,250,250,1,761.6201138653664,761.9136671066717,613.6207416681856,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,250,250,1,677.21792137315,676.2475088180433,697.3225576131823,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,250,250,1,554.3681540675008,554.910993307486,472.78595764538994,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",9
regular,5000,5000,1,15761.00945780161,15369.038154686685,12017.63477044914,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,5000,5000,1,15342.206161294967,15217.750183178196,12017.63477044914,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,5000,5000,1,13822.092541814316,13822.862477649143,13844.539127097818,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,5000,5000,1,11028.695623360269,11030.413756823786,9353.80712774197,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,50,50,2,158.34512654353563,157.6824155079416,129.7434753882764,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
e-singular,50,50,2,146.86194220537953,150.9107869214709,129.7434753882764,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
singular1,50,50,2,144.12413842795877,143.585478715815,142.2722423444922,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,50,50,2,110.2770950059962,110.29513323804657,97.36492235093367,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",9
regular,250,250,2,792.4135911612227,775.1841785675139,613.6207416681858,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,250,250,2,770.1423772898162,767.779767316882,613.6207416681858,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,250,250,2,678.0962884306005,677.1255872797283,697.3225576131825,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,250,250,2,560.0927058043875,561.0772667595147,472.78595764538994,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,5000,5000,2,15770.591977512922,15357.97198126821,12017.634770449144,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
e-singular,5000,5000,2,15242.440526437718,15127.893005414571,12017.634770449144,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,5000,5000,2,13845.210032582929,13846.560747856283,13844.539127097822,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,5000,5000,2,11112.406573019658,11113.677113588543,9353.80712774197,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,50,50,3,162.66287905111594,165.75285642535937,129.7434753882764,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,50,50,3,146.0567690755016,150.38368701629435,129.7434753882764,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",5
singular1,50,50,3,142.02293558155083,141.23381316699962,142.2722423444922,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,50,50,3,123.33166296433203,122.87719551215265,97.36492235093367,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",9
regular,250,250,3,803.0485133849467,771.5359091283959,613.6207416681858,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,250,250,3,758.2161065066392,758.8310725945182,613.6207416681858,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
singular1,250,250,3,675.2698983737345,674.5571694168983,697.3225576131825,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,250,250,3,555.2047304196697,555.198878836265,472.78595764538994,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,5000,5000,3,15836.479925204932,15380.75286882755,12017.634770449144,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,5000,5000,3,15266.97887810518,15164.149390104456,12017.634770449144,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
singular1,5000,5000,3,13866.488944270124,13867.627145217306,13844.539127097822,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,5000,5000,3,11030.93233074611,11032.285122142861,9353.80712774197,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,50,50,4,162.02923107304633,161.71951853559094,129.7434753882764,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
e-singular,50,50,4,153.8953407386326,156.82551784992637,129.7434753882764,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
singular1,50,50,4,144.42283838180978,142.33012131389904,142.2722423444922,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,50,50,4,113.4049659675372,113.53261324871488,97.36492235093367,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",9
regular,250,250,4,790.4594794061477,773.2274586989136,613.6207416681858,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
e-singular,250,250,4,770.2628914691514,767.2935409260476,613.6207416681858,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,250,250,4,707.8583457348586,707.4546330971914,697.3225576131825,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,250,250,4,550.778486862373,550.7741726740677,472.78595764538994,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,5000,5000,4,15794.155602469493,15379.607971545698,12017.634770449144,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,5000,5000,4,15177.57716217031,15076.46596035499,12017.634770449144,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",5
singular1,5000,5000,4,13864.616124451342,13866.392812802955,13844.539127097822,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,5000,5000,4,10962.191014883734,10963.593110816048,9353.80712774197,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,50,50,5,157.91685591734765,158.14881747027678,129.7434753882764,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
e-singular,50,50,5,157.5203603144365,158.75649546084117,129.7434753882764,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,50,50,5,136.21896644422475,135.2900417448901,142.2722423444922,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,50,50,5,106.4362821745229,106.0592223926634,97.36492235093367,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",9
regular,250,250,5,803.5544776519909,789.5871194270098,613.6207416681858,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,250,250,5,763.1425823166552,763.1691645383546,613.6207416681858,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,250,250,5,715.8893359998668,714.7533466693291,697.3225576131825,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,250,250,5,549.9865626267098,550.2332710643904,472.78595764538994,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,5000,5000,5,15806.99356232913,15332.433856437325,12017.634770449144,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
e-singular,5000,5000,5,15256.162463763403,15152.669870374317,12017.634770449144,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
singular1,5000,5000,5,13831.573383901943,13832.938522040473,13844.539127097822,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,5000,5000,5,11034.08378087512,11035.994101955232,9353.80712774197,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,50,50,6,158.34445821877733,161.43443185123235,129.7434753882764,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",7
e-singular,50,50,6,166.44616735141318,166.7759392638992,129.7434753882764,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
singular1,50,50,6,147.70833492724825,147.05233902872104,142.2722423444922,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,50,50,6,112.22683267191093,111.72802511081407,97.36492235093367,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",9
regular,250,250,6,822.9289272180787,798.8555399550103,613.6207416681858,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,250,250,6,762.1435683285408,764.7023033922887,613.6207416681858,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",5
singular1,250,250,6,707.9040868990979,707.8392143549513,697.3225576131825,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
singular2,250,250,6,559.091024217745,559.6336693594237,472.78595764538994,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
regular,5000,5000,6,15793.67285860916,15393.94013431556,12017.634770449144,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",6
e-singular,5000,5000,6,15203.175887151607,15107.440905201815,12017.634770449144,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",5
singular1,5000,5000,6,13825.364801658829,13826.126486106727,13844.539127097822,4,1000,4000,0.0,0,0,"[0, 0, 0, 0]",10
